FIRM NAME;Special Rules;Do Accts Mirror Each Other (Like Titled)?;Is the Acct a Trust or is this a Rollover?;Does the Acct hold an annuity or insurance product?;OUTPUT (if firm and answers to questions meet rules)
Jessup & Lamont;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
JP Turner;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
KMS Financial Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Koonce Secs;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Kovack Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
LaBranche Financial;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Lazard Freres;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Legacy Trust           ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Legent Clearing ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Liberty Capital Investment Corp;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Liberty Partners;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Lincoln Financial Advisors;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Lincoln Financial Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Linsco Private Ledger  (LPL);;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
M & I BROKERAGE SERVICES;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Man Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Marsco;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
